left_hip_roll_angles,left_hip_pitch_angles,left_knee_distances,left_ankle_up_angles,left_ankle_down_angles,right_hip_roll_angles,right_hip_pitch_angles,right_knee_distances,right_ankle_up_angles,right_ankle_up_angles
0,0,0,1.0104704733857952,-1.1143913183862093,0,0,0,0,0
0,0,0,0.9743463941740926,-1.073325218240237,0,0,0,0,0
0,0,0,0.9360525778038052,-1.0306388891697933,0,0,0,0,0
0,0,0,0.8969914222264723,-0.9877651926439477,0,0,0,0,0
0,0,0,0.8643107316730371,-0.9522747659836982,0,0,0,0,0
0,0,0,0.8400710018217707,-0.9261018241360719,0,0,0,0,0
0,0,0,0.8227903877213392,-0.9074498082975704,0,0,0,0,0
0,0,0,0.8092856116602855,-0.892874650441968,0,0,0,0,0
0,0,0,0.8005752683686793,-0.8834234690514826,0,0,0,0,0
0,0,0,0.7991291111981074,-0.8817314427949233,0,0,0,0,0
0,0,0,0.80895348119091,-0.8921684875210275,0,0,0,0,0
0,0,0,0.8191549647680804,-0.7997322285953552,0,0,0,0,0
0,0,0,0.7844185046153004,-0.7679324020917909,0,0,0,0,0
0,0,0,0.7638950526160546,-0.7498422965611033,0,0,0,0,0
0,0,0,0.7502203929121045,-0.736258961530355,0,0,0,0,0
0,0,0,0.7631397044923935,-0.7481513051771697,0,0,0,0,0
0,0,0,0.7751262884934217,-0.7589360199242535,0,0,0,0,0
0,0,0,0.7865713088979726,-0.7690708831290588,0,0,0,0,0
0,0,0,0.7976393051052418,-0.7789769035494495,0,0,0,0,0
0,0,0,0.8085885732141839,-0.7888744289540801,0,0,0,0,0
0,0,0,0.8196314025317261,-0.799007205883994,0,0,0,0,0
0,0,0,0.8310154356471366,-0.8098578694733257,0,0,0,0,0
0,0,0,0.8429919974531451,-0.8216019594515328,0,0,0,0,0
0,0,0,0.8552524305561806,-0.8334181245232739,0,0,0,0,0
0,0,0,0.866970794822008,-0.8452424687231694,0,0,0,0,0
0,0,0,0.878506131578124,-0.85727638456071,0,0,0,0,0
0,0,0,0.8904748150606918,-0.8701705140557698,0,0,0,0,0
0,0,0,0.9034136427912203,-0.8843177468010839,0,0,0,0,0
0,0,0,0.9171164659402595,-0.8999075910823205,0,0,0,0,0
0,0,0,0.9317288389004603,-0.9163246165275203,0,0,0,0,0
0,0,0,0.9467896831301935,-0.933447707292006,0,0,0,0,0
0,0,0,0.9617325039884645,-0.950888670514829,0,0,0,0,0
0,0,0,0.9765861485951176,-0.968533477746568,0,0,0,0,0
0,0,0,0.9921699272000095,-0.9865637502764983,0,0,0,0,0
0,0,0,1.00819228474021,-1.0052787437253154,0,0,0,0,0
0,0,0,1.0245401082656616,-1.02452325323397,0,0,0,0,0
0,0,0,1.0413783501776241,-1.0441711469721484,0,0,0,0,0
0,0,0,1.0577746870269211,-1.0647044655858342,0,0,0,0,0
0,0,0,1.0748727306134955,-1.085966115976961,0,0,0,0,0
0,0,0,1.0916550501328877,-1.1075883127396964,0,0,0,0,0
0,0,0,1.1035160949163372,-1.1238178374609662,0,0,0,0,0
0,0,0,1.0992081720066873,-1.1326348047433705,0,0,0,0,0
0,0,0,1.0984126220318937,-1.110158167931263,0,0,0,0,0
0,0,0,1.0593818193580187,-1.0690815458946419,0,0,0,0,0
0,0,0,1.0342152225342383,-1.0436240564245178,0,0,0,0,0
0,0,0,1.0883792669330041,-1.0981561379348102,0,0,0,0,0
0,0,0,1.1421986239624982,-1.1524316749173975,0,0,0,0,0
0,0,0,1.1864192988242543,-1.1972208333947163,0,0,0,0,0
0,0,0,1.209701903903202,-1.2209583670801034,0,0,0,0,0
0,0,0,1.227523776463521,-1.2391587115704086,0,0,0,0,0
